web-scraper-order,web-scraper-start-url,getcomments
"1618405986-348","https://www.instagram.com/p/CNoSB5ZDGfI/","6 & 7!"
"1618405986-220","https://www.instagram.com/p/CNoSB5ZDGfI/","6 & 8"
"1618405986-34","https://www.instagram.com/p/CNoSB5ZDGfI/","8"
"1618405986-242","https://www.instagram.com/p/CNoSB5ZDGfI/","6"
"1618405986-330","https://www.instagram.com/p/CNoSB5ZDGfI/","5 and 8 🔥"
"1618405986-354","https://www.instagram.com/p/CNoSB5ZDGfI/","7"
"1618405986-262","https://www.instagram.com/p/CNoSB5ZDGfI/","5"
"1618405986-186","https://www.instagram.com/p/CNoSB5ZDGfI/","7 and 8"
"1618405986-88","https://www.instagram.com/p/CNoSB5ZDGfI/","8!"
"1618405986-320","https://www.instagram.com/p/CNoSB5ZDGfI/","5 + 8"
"1618405986-17","https://www.instagram.com/p/CNoSB5ZDGfI/","7/9"
"1618405986-236","https://www.instagram.com/p/CNoSB5ZDGfI/","4 & 6"
"1618405986-103","https://www.instagram.com/p/CNoSB5ZDGfI/","5&6"
"1618405986-30","https://www.instagram.com/p/CNoSB5ZDGfI/","6!!"
"1618405986-311","https://www.instagram.com/p/CNoSB5ZDGfI/","5 & 6"
"1618405986-177","https://www.instagram.com/p/CNoSB5ZDGfI/","8"
"1618405986-315","https://www.instagram.com/p/CNoSB5ZDGfI/","8"
"1618405986-180","https://www.instagram.com/p/CNoSB5ZDGfI/","7 👏👏👏"
"1618405986-53","https://www.instagram.com/p/CNoSB5ZDGfI/","8!"
"1618405986-298","https://www.instagram.com/p/CNoSB5ZDGfI/","2 & 8"
"1618405986-119","https://www.instagram.com/p/CNoSB5ZDGfI/","3&9"
"1618405986-164","https://www.instagram.com/p/CNoSB5ZDGfI/","6 🙌"
"1618405986-172","https://www.instagram.com/p/CNoSB5ZDGfI/","1"
"1618405986-244","https://www.instagram.com/p/CNoSB5ZDGfI/","5"
"1618405986-41","https://www.instagram.com/p/CNoSB5ZDGfI/","8"
"1618405986-67","https://www.instagram.com/p/CNoSB5ZDGfI/","1 and 5"
"1618405986-75","https://www.instagram.com/p/CNoSB5ZDGfI/","4 and 8"
"1618405986-223","https://www.instagram.com/p/CNoSB5ZDGfI/","5 & 7"
"1618405986-342","https://www.instagram.com/p/CNoSB5ZDGfI/","6"
"1618405986-217","https://www.instagram.com/p/CNoSB5ZDGfI/","6$7"
"1618405986-59","https://www.instagram.com/p/CNoSB5ZDGfI/","5 and 8"
"1618405986-155","https://www.instagram.com/p/CNoSB5ZDGfI/","8"
"1618405986-264","https://www.instagram.com/p/CNoSB5ZDGfI/","6"
"1618405986-306","https://www.instagram.com/p/CNoSB5ZDGfI/","7!"
"1618405986-154","https://www.instagram.com/p/CNoSB5ZDGfI/","7 with 🍎"
"1618405986-140","https://www.instagram.com/p/CNoSB5ZDGfI/","6 & 8"
"1618405986-65","https://www.instagram.com/p/CNoSB5ZDGfI/","7 and 8"
"1618405986-233","https://www.instagram.com/p/CNoSB5ZDGfI/","6 & 8"
"1618405986-49","https://www.instagram.com/p/CNoSB5ZDGfI/","6 &8"
